crno,corpNm,corpEnsnNm,enpPbanCmpyNm,enpRprFnm,corpRegMrktDcd,corpRegMrktDcdNm,corpDcd,corpDcdNm,bzno,enpOzpno,enpBsadr,enpDtadr,enpHmpgUrl,enpTlno,enpFxno,sicNm,enpEstbDt,enpStacMm,enpXchgLstgDt,enpXchgLstgAbolDt,enpKosdaqLstgDt,enpKosdaqLstgAbolDt,enpKrxLstgDt,enpKrxLstgAbolDt,smenpYn,enpMntrBnkNm,enpEmpeCnt,empeAvgCnwkTermCtt,enpPn1AvgSlryAmt,actnAudpnNm,audtRptOpnnCtt,enpMainBizNm,fssCorpUnqNo,fssCorpChgDtm,fstOpegDt,lastOpegDt
1101110229347,진일스틸(주),"JIN IL STEEL CO.,LTD",,김우석,,,,,1148134865,50404,경상남도 밀양시 부북면 사포산단중앙로 108,,,82-055-354-1530,055-355-7132,그 외 기타 1차 철강 제조업,19780412,,,,,,,,,,9,,0,,,,,,20251008,20251014
1101110229371,주식회사 롯데햄,"Lotte Ham Co.,LTD.",롯데햄,임종호,F,기타,,,1148116663,137723,서울특별시 서초구 잠원동 50-2,,www.lotteham.co.kr,02)3479-5114,02)3479-5100,,19780412,12,,,,,,,,,0,,0,,,,00120599,2017/06/30,20200509,20260914
1101110229371,주식회사 롯데햄,"Lotte Ham Co.,LTD.",롯데햄,임종호,F,기타,,,1148116663,137723,서울특별시 서초구 잠원동 50-2,서울특별시 서초구 잠원동 50-2,www.lotteham.co.kr,02)3479-5114,02)3479-5100,,19780412,12,,,,,,,,,0,,0,,,,00120599,2017/06/30,20260101,20260101
1101110229412,영풍진흥기업(주),"YOUNG POONG JINHEUNG ENTERPRISE CO.,LTD.",,김광남,,,,,1068108518,04364,서울 용산구 원효로2가,14-2번지,,82-02-717-0711,02-717-0715,,19780412,,,,,,,,,,9,,0,,,,,,20200517,20200517
1101110229610,안흥개발주식회사,,안흥개발,하경철,E,기타,,,1098107838,140210,서울특별시 용산구 한남동 737-35,,,02-797-3434,,,19780429,12,,,,,,,,,0,,0,,,,00454229,2017/06/30,20200509,20260914
1101110229610,안흥개발주식회사,,안흥개발,하경철,E,기타,,,1098107838,140210,서울특별시 용산구 한남동 737-35,서울특별시 용산구 한남동 737-35,,02-797-3434,,,19780429,12,,,,,,,,,0,,0,,,,00454229,2017/06/30,20260101,20260101
1101110229628,(주)선진엔지니어링종합건축사사무소,SUNJIN Engineering & Architecture,선진엔지니어링종합건축사사무소,"배성진, 유태원",E,기타,,,1178108600,13840,"경기도 과천시 과천대로7길 20 B타워 5~6층 (갈현동, 과천스마트케이업무시설)",,www.sunjin.co.kr,02-6333-3000,02-6332-3000,,19780415,12,,,,,,,,,0,,0,,,,00189556,2023/03/28,20230328,20260914
1101110229628,(주)선진엔지니어링종합건축사사무소,SUNJIN Engineering & Architecture,선진엔지니어링종합건축사사무소,"배성진, 유태원",E,기타,,,1178108600,13840,"경기도 과천시 과천대로7길 20 B타워 5~6층 (갈현동, 과천스마트케이업무시설)","경기도 과천시 과천대로7길 20 B타워 5~6층 (갈현동, 과천스마트케이업무시설)",www.sunjin.co.kr,02-6333-3000,02-6332-3000,,19780415,12,,,,,,,,,0,,0,,,,00189556,2023/03/28,20260101,20260101
1101110229628,(주)선진엔지니어링종합건축사사무소,SUNJIN ENG,,배성진,,,,,1178108600,13840,경기도 과천시 과천대로7길 20,"5~6층 (갈현동,B타워)",,82-02-6333-3044,02-6332-3000,건물 및 토목 엔지니어링 서비스업,19780415,,,,,,,,,,758,,0,,,,,,20251008,20251014
1101110229628,(주)선진엔지니어링종합건축사사무소,SUNJIN Engineering & Architecture,선진엔지니어링종합건축사사무소,"배성진, 유태원",E,기타,,,1178108600,14057,"경기도 안양시 동안구 벌말로 126 (관양동, 평촌오비즈타워) 25층~27층, 32층",,www.sunjin.co.kr,02-6333-3000,02-6332-3000,,19780415,12,,,,,,,,,0,,0,,,,00189556,2023/02/14,20210414,20230327
